gene_entrez_id,gene_symbol,mean_abs_shap_ambiguity_score
51365,PLA1A,0.023251599184282764
57823,SLAMF7,0.014619160527756721
3824,KLRD1,0.010659860473421403
7851,MALL,0.010238369791605102
117157,SH2D1B,0.008657300845459914
3958,LGALS3,0.008469994692658417
5450,POU2AF1,0.008453724312066665
10578,GNLY,0.00784389666196505
684,BST2,0.007741780382450381
6389,SDHA,0.007395488290336871
3560,IL2RB,0.007394125293321094
9104,RGN,0.0073671905636808815
4214,MAP3K1,0.00735054208766057
3821,KLRC1,0.007216354097801772
4818,NKG7,0.0071144912927530715
83888,FGFBP2,0.006921211337634561
2357,FPR1,0.006581243562513834
2826,CCR10,0.006534819872345215
939,CD27,0.006492750035147465
8644,AKR1C3,0.006213703734569621
6714,SRC,0.005915178501007857
6351,CCL4,0.005903375848466603
3108,HLA-DMA,0.005556734346333524
384,ARG2,0.0055398476493769755
2633,GBP1,0.00552842306588609
168667,BMPER,0.005511143758776539
1514,CTSL,0.00548653353726063
5603,MAPK13,0.005445312632484705
25939,SAMHD1,0.005377764227790434
10398,MYL9,0.005255063855104018
3575,IL7R,0.005183575443722525
240,ALOX5,0.004889996272053949
220972,MARCHF8,0.004874584597032588
4283,CXCL9,0.0048516386530781915
5551,PRF1,0.004779249979696225
301,ANXA1,0.004776300915905024
9021,SOCS3,0.004766561776286003
3572,IL6ST,0.004735675576131464
57379,AICDA,0.004676982997820259
2209,FCGR1A,0.004619331962080772
960,CD44,0.00460200189046407
857,CAV1,0.004589140482278979
4208,MEF2C,0.004584345095364287
3811,KIR3DL1,0.004583201506472098
4282,MIF,0.00456425791445098
135,ADORA2A,0.004522780494832857
114548,NLRP3,0.004489074681740749
4600,MX2,0.004468035778753667
116441,TM4SF18,0.004437324661757695
7422,VEGFA,0.004435948471990314
54873,PALMD,0.004421384850740569
1012,CDH13,0.004411361025917161
55423,SIRPG,0.004381032139752397
6279,S100A8,0.004341272760749793
1958,EGR1,0.004333528118249452
7033,TFF3,0.0043169332808211955
9834,FAM30A,0.004255433559844054
27299,ADAMDEC1,0.004244012483305147
10538,BATF,0.0042380646018036604
30009,TBX21,0.004210958750432617
919,CD247,0.004202455483083311
143903,LAYN,0.004201421783388431
944,TNFSF8,0.004168630456593021
3122,HLA-DRA,0.004162897257858299
51176,LEF1,0.0041548242893740825
3664,IRF6,0.004146800595986852
51348,KLRF1,0.0040893813749018435
114836,SLAMF6,0.0040780129553742205
80380,PDCD1LG2,0.004038623611240293
608,TNFRSF17,0.004022772570631988
1521,CTSW,0.004017598866358632
3593,IL12B,0.003954011233096989
3569,IL6,0.0039429172984337185
5294,PIK3CG,0.003935999988338008
718,C3,0.003910835369234748
4071,TM4SF1,0.0038103116557119364
8542,APOL1,0.003766306371251547
973,CD79A,0.003759050967897326
