gene_entrez_id,ambiguous_rank_score,nonambiguous_rank_score,gene_symbol,ambiguity_specific
51365,0.023251599184282764,0.044824190560120165,PLA1A,-0.0215725913758374
57823,0.014619160527756721,0.0012335181169337494,SLAMF7,0.013385642410822973
3824,0.010659860473421403,0.013416655837213073,KLRD1,-0.00275679536379167
7851,0.010238369791605102,0.004900300175654793,MALL,0.005338069615950309
117157,0.008657300845459914,0.025506623626250443,SH2D1B,-0.01684932278079053
3958,0.008469994692658417,0.0007086738218530657,LGALS3,0.007761320870805351
5450,0.008453724312066665,0.0011512881646703673,POU2AF1,0.007302436147396298
10578,0.00784389666196505,0.023804809434846686,GNLY,-0.015960912772881634
684,0.007741780382450381,0.0014016904961616943,BST2,0.006340089886288687
6389,0.007395488290336871,0.0007925858419725978,SDHA,0.0066029024483642736
3560,0.007394125293321094,0.002110098475003948,IL2RB,0.005284026818317146
9104,0.0073671905636808815,0.0012130556029787871,RGN,0.006154134960702095
4214,0.00735054208766057,0.0015968801934698506,MAP3K1,0.005753661894190719
3821,0.007216354097801772,0.0023838492718829206,KLRC1,0.004832504825918852
4818,0.0071144912927530715,0.002580372165375904,NKG7,0.0045341191273771675
83888,0.006921211337634561,0.019965758311278513,FGFBP2,-0.013044546973643953
2357,0.006581243562513834,0.0009138373507694027,FPR1,0.005667406211744431
2826,0.006534819872345215,0.0015932988160927296,CCR10,0.004941521056252485
939,0.006492750035147465,0.0007898286263171194,CD27,0.005702921408830346
8644,0.006213703734569621,0.0009042460318448563,AKR1C3,0.005309457702724765
6714,0.005915178501007857,0.0008525330632714452,SRC,0.0050626454377364115
6351,0.005903375848466603,0.00663781526333264,CCL4,-0.0007344394148660364
3108,0.005556734346333524,0.0014063524363645012,HLA-DMA,0.004150381909969023
384,0.0055398476493769755,0.0007624504971343598,ARG2,0.004777397152242615
2633,0.00552842306588609,0.0012549928076369752,GBP1,0.004273430258249115
168667,0.005511143758776539,0.0009957433739145166,BMPER,0.004515400384862022
1514,0.00548653353726063,0.0008471681129260533,CTSL,0.0046393654243345765
5603,0.005445312632484705,0.0007496158905409931,MAPK13,0.004695696741943712
25939,0.005377764227790434,0.0007943050619778064,SAMHD1,0.004583459165812628
10398,0.005255063855104018,0.0006957385319452728,MYL9,0.004559325323158745
3575,0.005183575443722525,0.0006138243979940679,IL7R,0.004569751045728457
240,0.004889996272053949,0.0011641470220315835,ALOX5,0.003725849250022366
220972,0.004874584597032588,0.000813915575694429,MARCHF8,0.004060669021338159
4283,0.0048516386530781915,0.006768787509758798,CXCL9,-0.0019171488566806063
5551,0.004779249979696225,0.010020676137048885,PRF1,-0.00524142615735266
301,0.004776300915905024,0.0013746387844900997,ANXA1,0.0034016621314149247
9021,0.004766561776286003,0.0008223617941539568,SOCS3,0.0039441999821320465
3572,0.004735675576131464,0.0008258724542422424,IL6ST,0.003909803121889221
57379,0.004676982997820259,0.0009147372110894878,AICDA,0.0037622457867307717
2209,0.004619331962080772,0.0007725802628770716,FCGR1A,0.0038467516992037
960,0.00460200189046407,0.0008025907793659722,CD44,0.003799411111098098
857,0.004589140482278979,0.0009355369591379535,CAV1,0.003653603523141026
4208,0.004584345095364287,0.001581841709044546,MEF2C,0.003002503386319741
3811,0.004583201506472098,0.0014612792331443972,KIR3DL1,0.003121922273327701
4282,0.00456425791445098,0.0008328156781037139,MIF,0.0037314422363472657
135,0.004522780494832857,0.0009407853918279202,ADORA2A,0.0035819951030049363
114548,0.004489074681740749,0.0012045653664439842,NLRP3,0.003284509315296765
4600,0.004468035778753667,0.0012454509212176607,MX2,0.0032225848575360063
116441,0.004437324661757695,0.0027253898989634197,TM4SF18,0.0017119347627942753
7422,0.004435948471990314,0.0013036634066590118,VEGFA,0.0031322850653313023
54873,0.004421384850740569,0.0014338665017184294,PALMD,0.002987518349022139
1012,0.004411361025917161,0.0014008173897877357,CDH13,0.0030105436361294253
55423,0.004381032139752397,0.0018841521212410635,SIRPG,0.002496880018511334
6279,0.004341272760749793,0.00044566048943079934,S100A8,0.003895612271318994
1958,0.004333528118249452,0.0010517113383866482,EGR1,0.0032818167798628036
7033,0.0043169332808211955,0.0010246350886400362,TFF3,0.0032922981921811594
9834,0.004255433559844054,0.0008638068392278852,FAM30A,0.003391626720616169
27299,0.004244012483305147,0.001232850920816002,ADAMDEC1,0.0030111615624891447
10538,0.0042380646018036604,0.0011632166674566638,BATF,0.003074847934346997
30009,0.004210958750432617,0.0029923061326619866,TBX21,0.0012186526177706304
919,0.004202455483083311,0.0027305617497322744,CD247,0.0014718937333510367
