sample_id,predicted_class,runner_up_class,top_genes_for_predicted_class,top_genes_for_runner_up_class
GSM2590961,ABMR,NR,"117157(0.057), 3575(0.048), 9834(0.047), 83888(0.046), 2056(0.043), 151888(0.033), 3003(0.029), 10663(0.028), 5920(0.027), 3122(0.025), 3669(0.022), 3664(0.022), 5817(0.022), 6892(0.021), 861(0.021)","9771(0.000), 10010(0.000), 10013(0.000), 100133941(0.000), 10018(0.000), 1003(0.000), 100507436(0.000), 100528032(0.000), 10068(0.000), 101(0.000), 1012(0.000), 10148(0.000), 10166(0.000), 10219(0.000), 10221(0.000)"
GSM2590979,TCMR,ABMR,"3105(0.066), 1844(0.062), 4783(0.060), 3108(0.050), 149233(0.043), 1956(0.033), 84465(0.019), 7040(0.019), 6890(0.016), 727(0.009), 6935(0.004), 4502(0.001), 3099(0.000), 6097(0.000), 6095(0.000)","1236(0.094), 4071(0.078), 3812(0.062), 25939(0.059), 2022(0.056), 1499(0.053), 1305(0.036), 2633(0.036), 1281(0.034), 1012(0.030), 10551(0.028), 2625(0.017), 2539(0.017), 10769(0.016), 10894(0.014)"
GSM2590997,NR,ABMR,"7314(0.071), 8807(0.062), 23643(0.057), 6359(0.057), 3373(0.052), 3109(0.047), 10398(0.046), 7010(0.045), 6279(0.043), 28516(0.042), 6366(0.036), 5788(0.026), 4090(0.026), 301(0.026), 50943(0.023)","5696(0.010), 933(0.009), 6143(0.002), 201633(0.001), 6357(0.000), 6198(0.000), 6256(0.000), 627(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 6374(0.000), 6375(0.000), 6376(0.000), 6300(0.000)"
GSM2590998,NR,ABMR,"5054(0.014), 6256(0.000), 6279(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 6374(0.000), 6375(0.000), 6376(0.000), 6300(0.000), 6349(0.000), 6198(0.000), 6352(0.000), 6357(0.000), 5771(0.000)","2357(0.052), 7293(0.048), 558(0.042), 90865(0.042), 10346(0.039), 3561(0.037), 384(0.036), 10747(0.033), 135(0.033), 51278(0.033), 627(0.032), 2280(0.031), 8482(0.025), 26191(0.024), 710(0.023)"
GSM2591031,NR,ABMR,"4615(0.025), 3717(0.019), 5133(0.018), 3113(0.018), 5327(0.016), 7314(0.014), 6503(0.014), 256987(0.014), 3077(0.012), 90865(0.011), 5159(0.010), 6095(0.010), 6556(0.009), 3902(0.009), 9510(0.008)","973(0.180), 22914(0.042), 1432(0.020), 6778(0.014), 80704(0.010), 6556(0.006), 940(0.005), 924(0.005), 6279(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 6375(0.000), 629(0.000), 6300(0.000)"
GSM2591045,NR,ABMR,"10538(0.037), 3566(0.033), 3484(0.031), 2633(0.028), 2215(0.025), 3383(0.015), 8692(0.015), 8530(0.012), 28602(0.012), 55340(0.011), 10018(0.011), 3635(0.009), 5966(0.009), 2357(0.007), 944(0.007)","30835(0.144), 135(0.069), 6927(0.018), 3937(0.011), 4277(0.009), 2357(0.005), 6256(0.000), 627(0.000), 6279(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 598(0.000), 6300(0.000), 6347(0.000)"
GSM2591067,NR,ABMR,"3384(0.007), 6283(0.000), 6285(0.000), 629(0.000), 602(0.000), 604(0.000), 6347(0.000), 6349(0.000), 6351(0.000), 6352(0.000), 6280(0.000), 6362(0.000), 6198(0.000), 6256(0.000), 6364(0.000)","168667(0.049), 4214(0.045), 3290(0.045), 301(0.042), 117157(0.039), 4090(0.039), 384(0.037), 4818(0.037), 4282(0.035), 64332(0.035), 1901(0.032), 9510(0.031), 1896(0.024), 4879(0.021), 1441(0.021)"
GSM2591086,TCMR,NR,"7535(0.079), 6891(0.062), 240(0.060), 5025(0.052), 54210(0.051), 3429(0.050), 100528032(0.050), 3665(0.049), 10410(0.048), 116441(0.048), 3824(0.044), 4946(0.044), 7369(0.041), 23780(0.036), 3856(0.036)","6283(0.031), 7369(0.004), 6890(0.000), 6280(0.000), 6285(0.000), 629(0.000), 6300(0.000), 6382(0.000), 6347(0.000), 6349(0.000), 6352(0.000), 6357(0.000), 6359(0.000), 6362(0.000), 6363(0.000)"
GSM2591106,NR,ABMR,"57379(0.033), 3122(0.030), 51176(0.027), 5970(0.025), 6559(0.024), 348(0.024), 155465(0.022), 8772(0.022), 7535(0.016), 23569(0.016), 1359(0.015), 10221(0.013), 4323(0.013), 5600(0.011), 3479(0.009)","3117(0.099), 2833(0.080), 6559(0.014), 1359(0.012), 3429(0.012), 23569(0.011), 30009(0.008), 640(0.000), 6283(0.000), 6285(0.000), 598(0.000), 6300(0.000), 6347(0.000), 6349(0.000), 6351(0.000)"
GSM2591129,NR,ABMR,"7293(0.020), 919(0.019), 25939(0.017), 9834(0.016), 941(0.015), 602(0.015), 3605(0.012), 10894(0.012), 4878(0.011), 3146(0.010), 84969(0.010), 7042(0.008), 5133(0.008), 3824(0.008), 4094(0.008)","7097(0.051), 117157(0.038), 658(0.028), 51365(0.010), 79760(0.005), 5777(0.001), 6256(0.000), 6279(0.000), 6280(0.000), 6283(0.000), 6285(0.000), 629(0.000), 6300(0.000), 6347(0.000), 6349(0.000)"
